customerID,Churn,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharge,TotalCharge,DailyCharge,tenure_group,tenure_segment,ServiceCount
0052-YNYOT,0,Female,0,0,0,67,0,0,No,0,0,0,0,0,0,One year,0,Electronic check,20.55,1343.4,0.3067164179104478,48+,25+ meses,0
0056-EPFBG,0,Male,0,1,1,20,0,0,DSL,1,0,1,1,0,0,Two year,1,Credit card (automatic),39.4,825.4,1.97,12-24,11–24 meses,3
0057-QBUQH,0,Female,0,0,1,43,0,1,No,0,0,0,0,0,0,Two year,1,Electronic check,25.1,1070.15,0.5837209302325582,24-48,25+ meses,1
0058-EVZWM,0,Female,0,1,0,55,0,1,Fiber optic,1,0,0,0,1,0,Month-to-month,1,Bank transfer (automatic),89.8,4959.6,1.6327272727272726,48+,25+ meses,3
0060-FUALY,0,Female,0,1,0,59,0,1,Fiber optic,1,1,0,0,1,0,Month-to-month,1,Electronic check,94.75,5597.65,1.6059322033898304,48+,25+ meses,4
0064-SUDOG,0,Female,0,1,1,12,0,0,No,0,0,0,0,0,0,Two year,0,Bank transfer (automatic),20.3,224.5,1.6916666666666667,12-24,11–24 meses,0
0064-YIJGF,0,Male,0,1,1,27,0,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),75.75,1929.0,2.8055555555555554,24-48,25+ meses,1
0067-DKWBL,1,Male,1,0,0,2,0,0,DSL,1,0,0,0,0,0,Month-to-month,1,Electronic check,49.25,91.1,24.625,0-12,0–10 meses,1
0068-FIGTF,0,Female,0,0,0,27,0,0,DSL,0,1,1,1,1,1,One year,0,Mailed check,78.2,2078.95,2.8962962962962964,24-48,25+ meses,5
0071-NDAFP,0,Male,0,1,1,25,0,1,No,0,0,0,0,0,0,Two year,0,Credit card (automatic),25.5,630.6,1.02,24-48,25+ meses,1
0074-HDKDG,0,Male,0,1,1,25,0,0,DSL,1,1,1,0,0,0,One year,1,Bank transfer (automatic),61.6,1611.0,2.464,24-48,25+ meses,3
0076-LVEPS,0,Male,0,0,1,29,0,0,DSL,1,1,1,1,0,0,Month-to-month,1,Mailed check,45.0,1242.45,1.5517241379310345,24-48,25+ meses,4
0078-XZMHT,0,Male,0,1,0,72,0,1,DSL,0,1,1,1,1,1,Two year,1,Bank transfer (automatic),85.15,6316.2,1.182638888888889,48+,25+ meses,6
0080-EMYVY,0,Female,0,0,0,14,0,0,DSL,0,1,0,0,0,0,One year,0,Credit card (automatic),51.45,727.85,3.6750000000000003,12-24,11–24 meses,1
0080-OROZO,0,Female,0,0,0,35,0,0,Fiber optic,0,0,1,1,1,1,One year,1,Electronic check,99.25,3532.0,2.835714285714286,24-48,25+ meses,4
0082-LDZUE,0,Male,0,0,0,1,0,0,DSL,0,0,0,0,0,0,Month-to-month,1,Mailed check,44.3,44.3,44.3,0-12,0–10 meses,0
0082-OQIQY,0,Male,0,0,0,29,0,0,Fiber optic,0,0,0,1,1,1,Month-to-month,1,Electronic check,94.2,2607.6,3.2482758620689656,24-48,25+ meses,3
0083-PIVIK,0,Male,0,0,0,64,0,1,DSL,1,1,1,1,1,0,One year,0,Electronic check,81.25,5567.55,1.26953125,48+,25+ meses,6
0089-IIQKO,0,Female,0,1,1,39,0,1,Fiber optic,0,0,0,1,1,1,Month-to-month,1,Credit card (automatic),99.95,3767.4,2.562820512820513,24-48,25+ meses,4
0093-EXYQL,0,Female,1,0,0,40,0,0,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,91.55,3673.6,2.28875,24-48,25+ meses,2
0093-XWZFY,1,Male,0,0,0,40,0,1,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Credit card (automatic),104.5,4036.85,2.6125,24-48,25+ meses,5
0094-OIFMO,1,Female,1,0,0,11,0,0,Fiber optic,0,1,0,0,1,1,Month-to-month,1,Electronic check,95.0,1120.3,8.636363636363637,0-12,11–24 meses,3
0096-BXERS,0,Female,0,1,0,6,0,1,DSL,0,0,0,0,0,0,Month-to-month,0,Electronic check,50.35,314.55,8.391666666666667,0-12,0–10 meses,1
0096-FCPUF,0,Male,0,0,0,30,0,1,DSL,1,0,0,0,0,1,Month-to-month,1,Mailed check,64.5,1888.45,2.15,24-48,25+ meses,3
0098-BOWSO,0,Male,0,0,0,27,0,0,No,0,0,0,0,0,0,Month-to-month,1,Electronic check,19.4,529.8,0.7185185185185184,24-48,25+ meses,0
0100-DUVFC,0,Male,1,1,0,70,0,1,Fiber optic,0,1,1,0,1,1,One year,1,Electronic check,104.8,7308.95,1.497142857142857,48+,25+ meses,5
0103-CSITQ,0,Female,0,1,0,57,0,1,Fiber optic,0,1,1,1,1,1,One year,1,Bank transfer (automatic),109.4,6252.7,1.9192982456140353,48+,25+ meses,6
0104-PPXDV,0,Male,0,1,0,58,0,0,DSL,0,0,1,0,0,0,One year,0,Credit card (automatic),50.3,2878.55,0.8672413793103447,48+,25+ meses,1
0106-GHRQR,0,Male,0,0,0,16,0,1,DSL,0,1,1,0,0,1,Month-to-month,1,Bank transfer (automatic),71.4,1212.1,4.4625,12-24,11–24 meses,4
0106-UGRDO,0,Female,0,1,0,69,0,1,Fiber optic,1,1,1,1,1,1,Two year,1,Electronic check,116.0,8182.85,1.681159420289855,48+,25+ meses,7
0107-WESLM,1,Male,0,0,0,1,0,0,No,0,0,0,0,0,0,Month-to-month,1,Electronic check,19.85,19.85,19.85,0-12,0–10 meses,0
0107-YHINA,1,Male,0,0,1,1,0,1,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,99.75,99.75,99.75,0-12,0–10 meses,4
0111-KLBQG,0,Male,1,1,1,32,0,0,Fiber optic,0,1,0,0,1,1,Month-to-month,1,Mailed check,93.95,2861.45,2.9359375,24-48,25+ meses,3
0112-QAWRZ,0,Male,0,1,1,16,0,1,Fiber optic,0,0,1,0,1,0,Month-to-month,1,Bank transfer (automatic),90.8,1442.2,5.675,12-24,11–24 meses,3
0112-QWPNC,1,Male,0,1,0,49,0,1,DSL,1,0,1,1,1,1,One year,0,Electronic check,84.35,4059.35,1.7214285714285713,48+,25+ meses,6
0114-IGABW,0,Female,0,1,0,71,0,0,DSL,0,1,1,1,1,1,Two year,0,Bank transfer (automatic),58.25,4145.9,0.8204225352112676,48+,25+ meses,5
0114-PEGZZ,0,Female,0,0,0,33,0,1,Fiber optic,0,1,1,0,1,1,Month-to-month,0,Electronic check,107.55,3645.5,3.259090909090909,24-48,25+ meses,5
0114-RSRRW,0,Female,0,1,0,10,0,0,No,0,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),19.95,187.75,1.9949999999999999,0-12,11–24 meses,0
0115-TFERT,1,Male,0,1,0,21,0,1,Fiber optic,0,1,1,1,1,1,Month-to-month,1,Electronic check,111.2,2317.1,5.295238095238095,12-24,11–24 meses,6
0117-LFRMW,1,Male,0,1,1,37,0,0,DSL,1,1,1,0,0,0,Month-to-month,0,Bank transfer (automatic),40.2,1448.8,1.0864864864864865,24-48,25+ meses,3
0118-JPNOY,0,Female,1,0,0,26,0,0,Fiber optic,1,0,0,0,1,0,Month-to-month,1,Credit card (automatic),85.8,2193.65,3.3,24-48,25+ meses,2
0121-SNYRK,0,Male,0,0,0,50,0,0,DSL,1,0,0,1,0,0,One year,1,Mailed check,35.4,1748.9,0.708,48+,25+ meses,2
0122-OAHPZ,1,Female,0,0,0,7,0,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,73.85,511.25,10.549999999999999,0-12,0–10 meses,1
0123-CRBRT,0,Female,0,1,1,61,0,1,DSL,1,1,1,1,1,1,Two year,0,Mailed check,88.1,5526.75,1.444262295081967,48+,25+ meses,7
0125-LZQXK,1,Male,0,0,0,15,0,0,Fiber optic,0,0,1,1,1,1,Month-to-month,1,Electronic check,101.35,1553.95,6.756666666666666,12-24,11–24 meses,4
0128-MKWSG,0,Female,0,0,1,26,0,0,DSL,1,0,0,1,0,1,Month-to-month,0,Mailed check,45.8,1147.0,1.7615384615384615,24-48,25+ meses,3
0129-KPTWJ,0,Male,0,1,0,72,0,0,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,94.65,6747.35,1.3145833333333334,48+,25+ meses,3
0129-QMPDR,0,Male,0,1,1,44,0,0,No,0,0,0,0,0,0,One year,1,Bank transfer (automatic),20.5,865.05,0.4659090909090909,24-48,25+ meses,0
0130-SXOUN,0,Male,0,0,0,66,0,1,Fiber optic,0,1,0,0,0,1,Month-to-month,0,Credit card (automatic),89.4,5976.9,1.3545454545454547,48+,25+ meses,3
0133-BMFZO,1,Female,0,0,0,2,0,0,Fiber optic,1,1,0,1,0,0,Month-to-month,1,Electronic check,86.25,181.65,43.125,0-12,0–10 meses,3
0134-XWXCE,0,Female,1,0,0,44,0,0,DSL,0,0,1,1,1,1,One year,0,Bank transfer (automatic),74.85,3268.05,1.7011363636363634,24-48,25+ meses,4
0135-NMXAP,1,Female,0,0,0,12,0,1,Fiber optic,0,1,0,0,1,0,Month-to-month,1,Bank transfer (automatic),89.75,1052.4,7.479166666666667,12-24,11–24 meses,3
0136-IFMYD,0,Male,1,1,0,69,0,1,Fiber optic,0,1,1,1,1,1,Two year,1,Electronic check,109.95,7634.25,1.5934782608695652,48+,25+ meses,6
0137-OCGAB,1,Female,0,0,0,1,0,1,Fiber optic,0,1,0,0,0,0,Month-to-month,1,Mailed check,80.2,80.2,80.2,0-12,0–10 meses,2
0137-UDEUO,1,Female,0,0,0,3,0,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,19.85,63.75,6.616666666666667,0-12,0–10 meses,0
0139-IVFJG,0,Female,0,1,0,2,0,0,Fiber optic,1,1,0,0,1,0,Month-to-month,0,Electronic check,90.35,190.5,45.175,0-12,0–10 meses,3
0141-YEAYS,0,Female,1,0,0,27,0,1,Fiber optic,0,1,1,0,0,0,Month-to-month,1,Bank transfer (automatic),86.45,2401.05,3.201851851851852,24-48,25+ meses,3
0142-GVYSN,0,Male,0,0,0,26,0,0,No,0,0,0,0,0,0,Month-to-month,1,Electronic check,20.3,511.25,0.7807692307692308,24-48,25+ meses,0
0147-ESWWR,0,Female,1,1,0,39,0,1,Fiber optic,0,0,0,1,1,1,Month-to-month,1,Electronic check,101.25,3949.15,2.5961538461538463,24-48,25+ meses,4
0148-DCDOS,1,Male,0,0,0,25,0,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Bank transfer (automatic),94.7,2362.1,3.7880000000000003,24-48,25+ meses,3
0151-ONTOV,1,Female,0,0,0,1,0,0,Fiber optic,0,0,0,0,0,0,Month-to-month,0,Mailed check,70.9,70.9,70.9,0-12,0–10 meses,0
0156-FVPTA,1,Male,0,1,0,22,0,0,DSL,1,0,0,1,0,0,Month-to-month,1,Electronic check,54.2,1152.7,2.463636363636364,12-24,11–24 meses,2
0164-APGRB,0,Female,0,0,0,72,0,1,Fiber optic,1,1,1,1,1,1,Two year,1,Electronic check,114.9,8496.7,1.5958333333333334,48+,25+ meses,7
0164-XAIRP,0,Female,0,0,0,24,0,0,No,0,0,0,0,0,0,Two year,1,Bank transfer (automatic),19.55,470.2,0.8145833333333333,24-48,25+ meses,0
0168-XZKBB,0,Female,0,1,0,19,0,1,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,86.85,1564.4,4.571052631578947,12-24,11–24 meses,2
0174-QRVVY,0,Male,0,1,1,71,0,1,No,0,0,0,0,0,0,Two year,0,Credit card (automatic),25.35,1847.55,0.3570422535211268,48+,25+ meses,1
0177-PXBAT,0,Male,1,1,0,33,0,1,Fiber optic,1,0,1,1,1,1,Month-to-month,1,Bank transfer (automatic),109.9,3694.7,3.3303030303030305,24-48,25+ meses,6
0178-CIIKR,0,Female,0,0,0,3,0,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,19.95,58.0,6.6499999999999995,0-12,0–10 meses,0
0178-SZBHO,0,Male,0,1,1,47,0,1,Fiber optic,0,1,0,0,1,0,Month-to-month,0,Electronic check,87.2,4017.45,1.8553191489361702,24-48,25+ meses,3
0181-RITDD,0,Male,0,1,1,62,0,0,Fiber optic,1,1,1,1,1,1,Two year,0,Mailed check,108.15,6825.65,1.7443548387096774,48+,25+ meses,6
0186-CAERR,0,Male,0,0,0,71,0,1,Fiber optic,1,1,1,1,1,1,One year,1,Bank transfer (automatic),116.3,8309.55,1.6380281690140845,48+,25+ meses,7
0187-QSXOE,0,Male,1,1,0,7,0,0,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,89.0,605.45,12.714285714285714,0-12,0–10 meses,2
0187-WZNAB,0,Female,0,1,1,27,0,0,Fiber optic,1,0,0,0,0,0,Month-to-month,0,Mailed check,74.4,1972.35,2.755555555555556,24-48,25+ meses,1
0188-GWFLE,0,Male,0,0,0,2,0,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,20.05,33.7,10.025,0-12,0–10 meses,0
0191-EQUUH,0,Female,0,0,1,25,0,0,DSL,1,0,0,1,0,0,Two year,0,Bank transfer (automatic),35.05,844.45,1.402,24-48,25+ meses,2
0191-ZHSKZ,0,Male,1,0,0,30,0,0,DSL,1,1,0,0,1,1,Month-to-month,1,Electronic check,74.75,2111.3,2.4916666666666667,24-48,25+ meses,4
0193-ESZXP,1,Female,1,1,0,58,0,0,Fiber optic,1,1,0,1,1,1,One year,1,Credit card (automatic),105.5,6205.5,1.8189655172413792,48+,25+ meses,5
0195-IESCP,1,Male,0,1,0,10,0,1,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Electronic check,85.25,855.3,8.525,0-12,11–24 meses,2
0196-JTUQI,0,Female,0,0,0,9,0,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Credit card (automatic),75.2,633.85,8.355555555555556,0-12,0–10 meses,1
0196-VULGZ,1,Female,1,1,0,6,0,1,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Electronic check,84.35,474.9,14.058333333333332,0-12,0–10 meses,2
0197-PNKNK,0,Female,0,1,1,69,0,1,Fiber optic,1,0,1,0,0,0,One year,0,Bank transfer (automatic),84.45,5848.6,1.223913043478261,48+,25+ meses,3
0201-MIBOL,0,Female,1,0,0,66,0,1,Fiber optic,1,0,0,0,1,1,Two year,1,Bank transfer (automatic),102.4,6471.85,1.5515151515151515,48+,25+ meses,4
0201-OAMXR,1,Female,0,0,0,70,0,1,Fiber optic,1,1,1,1,1,1,One year,0,Credit card (automatic),115.55,8127.6,1.6507142857142856,48+,25+ meses,7
0203-HHYIJ,1,Male,0,0,0,25,0,1,No,0,0,0,0,0,0,One year,0,Bank transfer (automatic),25.3,676.35,1.012,24-48,25+ meses,1
0206-OYVOC,0,Female,0,1,1,46,0,0,No,0,0,0,0,0,0,Two year,1,Mailed check,19.25,864.2,0.41847826086956524,24-48,25+ meses,0
0206-TBWLC,0,Female,0,1,0,54,0,1,Fiber optic,1,1,1,1,1,1,One year,1,Mailed check,114.65,6049.5,2.1231481481481485,48+,25+ meses,7
0207-MDKNV,1,Female,0,0,0,15,0,0,Fiber optic,1,0,1,1,1,1,Month-to-month,0,Electronic check,105.1,1582.75,7.006666666666666,12-24,11–24 meses,5
0208-BPQEJ,0,Female,0,1,1,12,0,0,No,0,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),19.4,198.1,1.6166666666666665,12-24,11–24 meses,0
0212-ISBBF,0,Female,0,0,0,22,0,0,DSL,0,1,0,0,1,1,Month-to-month,1,Electronic check,50.35,1098.85,2.2886363636363636,12-24,11–24 meses,3
0214-JHPFW,0,Female,0,1,0,70,0,0,DSL,0,1,1,1,1,1,Two year,0,Bank transfer (automatic),57.8,4039.3,0.8257142857142856,48+,25+ meses,5
0215-BQKGS,0,Male,0,0,0,30,0,0,Fiber optic,1,1,1,0,0,0,Month-to-month,1,Credit card (automatic),84.3,2438.6,2.81,24-48,25+ meses,3
0218-QNVAS,0,Male,0,1,1,71,0,1,Fiber optic,0,1,0,0,1,1,One year,0,Bank transfer (automatic),100.55,7113.75,1.4161971830985915,48+,25+ meses,4
0219-QAERP,0,Male,0,1,0,30,0,0,No,0,0,0,0,0,0,One year,0,Credit card (automatic),19.8,576.65,0.66,24-48,25+ meses,0
0219-YTZUE,1,Male,0,1,1,4,0,1,Fiber optic,0,1,1,0,0,0,Month-to-month,1,Bank transfer (automatic),84.8,371.9,21.2,0-12,0–10 meses,3
0220-EBGCE,1,Male,0,0,0,2,0,0,Fiber optic,0,0,1,0,0,1,Month-to-month,1,Electronic check,85.85,167.3,42.925,0-12,0–10 meses,2
0221-NAUXK,0,Male,0,0,1,10,0,0,No,0,0,0,0,0,0,One year,1,Bank transfer (automatic),19.95,219.5,1.9949999999999999,0-12,11–24 meses,0
0221-WMXNQ,0,Male,1,0,0,4,0,0,Fiber optic,1,0,0,0,0,0,Month-to-month,0,Electronic check,75.35,273.4,18.8375,0-12,0–10 meses,1
0222-CNVPT,0,Male,1,0,0,52,0,0,DSL,1,0,0,0,1,1,Month-to-month,1,Credit card (automatic),48.8,2555.05,0.9384615384615385,48+,25+ meses,3
0224-HJAPT,1,Male,0,0,0,5,0,1,DSL,0,0,0,0,0,0,Month-to-month,0,Electronic check,47.15,223.15,9.43,0-12,0–10 meses,1
0224-NIJLP,0,Male,0,1,1,8,0,0,No,0,0,0,0,0,0,Two year,0,Mailed check,20.15,165.5,2.51875,0-12,0–10 meses,0
0224-RLWWD,0,Female,1,0,0,2,0,0,DSL,0,0,0,0,0,0,Month-to-month,1,Electronic check,44.3,89.3,22.15,0-12,0–10 meses,0
0225-ZORZP,0,Male,0,0,0,3,0,0,Fiber optic,0,1,0,0,0,1,Month-to-month,0,Electronic check,84.3,235.05,28.099999999999998,0-12,0–10 meses,2
0228-MAUWC,0,Male,0,0,0,19,0,1,DSL,0,0,1,1,0,0,Month-to-month,0,Electronic check,59.55,1144.6,3.134210526315789,12-24,11–24 meses,3
0229-LFJAF,0,Male,0,0,0,72,0,1,DSL,1,1,1,1,0,0,Two year,0,Bank transfer (automatic),69.65,4908.25,0.9673611111111112,48+,25+ meses,5
0230-UBYPQ,0,Male,1,1,0,63,0,0,DSL,1,0,0,1,0,0,One year,0,Bank transfer (automatic),36.1,2298.9,0.5730158730158731,48+,25+ meses,2
0230-WEQUW,0,Male,0,1,0,66,0,0,DSL,1,1,1,1,1,0,Two year,1,Bank transfer (automatic),56.6,3789.2,0.8575757575757575,48+,25+ meses,5
0231-LXVAP,1,Male,0,0,0,1,0,0,Fiber optic,0,0,0,1,0,0,Month-to-month,1,Electronic check,75.9,75.9,75.9,0-12,0–10 meses,1
0233-FTHAV,0,Female,0,0,0,60,0,1,Fiber optic,0,0,1,0,0,0,One year,1,Bank transfer (automatic),79.2,4765.0,1.32,48+,25+ meses,2
0234-TEVTT,0,Female,0,1,1,48,0,0,DSL,1,0,1,0,0,1,One year,0,Credit card (automatic),45.0,2196.3,0.9375,48+,25+ meses,3
0235-KGSLC,1,Female,0,0,0,1,0,0,Fiber optic,0,0,1,0,1,0,Month-to-month,1,Credit card (automatic),85.55,85.55,85.55,0-12,0–10 meses,2
0236-HFWSV,1,Male,0,0,0,15,0,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,93.35,1444.65,6.223333333333333,12-24,11–24 meses,3
0237-YFUTL,0,Female,0,1,0,50,0,1,Fiber optic,1,1,0,1,1,1,Month-to-month,1,Bank transfer (automatic),109.65,5405.8,2.193,48+,25+ meses,6
0238-WHBIQ,0,Male,0,1,1,72,0,1,DSL,1,1,1,1,1,1,Two year,0,Credit card (automatic),89.7,6339.3,1.2458333333333333,48+,25+ meses,7
0239-OXEXL,0,Female,0,0,0,46,0,1,Fiber optic,1,1,0,0,0,0,Month-to-month,0,Mailed check,84.25,3847.6,1.8315217391304348,24-48,25+ meses,3
0244-LGNFY,0,Female,0,1,1,72,0,1,DSL,1,1,1,1,1,1,Two year,0,Bank transfer (automatic),92.65,6733.0,1.2868055555555555,48+,25+ meses,7
0247-SLUJI,0,Male,0,1,1,1,0,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,19.7,19.7,19.7,0-12,0–10 meses,0
0248-IPDFW,0,Female,0,0,0,1,0,1,DSL,0,0,0,0,0,0,Month-to-month,1,Electronic check,50.1,50.1,50.1,0-12,0–10 meses,1
0248-PGHBZ,0,Female,1,0,0,67,0,0,Fiber optic,1,1,0,1,1,0,Two year,1,Bank transfer (automatic),92.45,6140.85,1.3798507462686567,48+,25+ meses,4
0253-ZTEOB,0,Female,0,1,1,48,0,1,DSL,0,1,0,1,1,1,Two year,0,Electronic check,79.65,3870.3,1.659375,48+,25+ meses,5
0254-FNMCI,0,Female,0,0,0,72,0,0,Fiber optic,1,1,1,1,1,1,Two year,1,Electronic check,109.9,7624.2,1.526388888888889,48+,25+ meses,6
0254-KCJGT,0,Male,0,1,0,52,0,1,DSL,1,1,1,1,0,1,One year,1,Credit card (automatic),81.4,4354.45,1.5653846153846156,48+,25+ meses,6
0254-WWRKD,0,Female,0,1,1,67,0,0,DSL,0,1,0,0,0,0,One year,0,Credit card (automatic),50.55,3431.75,0.7544776119402985,48+,25+ meses,1
0256-LTHVJ,1,Female,0,1,1,28,0,0,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Electronic check,81.05,2227.1,2.894642857142857,24-48,25+ meses,1
0257-KXZGU,0,Female,0,1,1,32,0,1,DSL,0,1,1,0,0,0,Month-to-month,0,Bank transfer (automatic),62.45,2045.55,1.9515625,24-48,25+ meses,3
